USER_OVERALL_RATING,PREDICTED_OVERALL_RATING,CLEANLINESS,LOCATION,VALUE,ROOMS,SERVICE,SLEEP_QUALITY
5,4.9448,5,5,4,5,5,5
5,4.8789,4,4,4,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.0224,5,5,5,5,5,4
2,2.7032,2,4,2,4,3,2
4,4.0948,4,5,4,5,4,3
4,4.5584,4,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
4,4.9448,5,5,4,5,5,5
4,4.7355,5,4,4,4,5,5
5,5.1336,5,5,5,5,5,5
5,4.6243,5,5,4,4,5,4
5,5.1336,5,5,5,5,5,5
4,4.1079,4,5,4,4,4,5
4,4.7677,4,5,4,5,5,4
5,4.9448,5,5,4,5,5,5
4,4.3696,4,5,3,4,5,4
4,3.9967,4,4,4,4,4,4
4,4.5584,4,4,4,4,5,4
5,4.5584,4,4,4,4,5,4
4,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
3,4.3696,4,4,3,4,5,4
5,4.5584,4,5,4,4,5,4
4,4.1284,4,5,3,5,4,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
4,4.6243,5,5,4,4,5,4
3,4.1808,4,4,2,4,5,4
3,3.3691,3,4,4,4,3,4
3,3.2462,4,4,3,4,3,4
3,2.3728,5,4,1,4,2,4
1,2.6094,1,4,4,1,3,4
5,4.7472,4,5,5,4,5,4
5,4.7472,4,5,5,4,5,4
5,4.6243,5,5,4,4,5,4
4,3.9967,4,4,4,4,4,4
5,4.8336,5,4,4,5,5,4
5,4.7472,4,5,5,4,5,4
5,4.6696,4,5,4,4,5,5
4,4.3172,4,4,4,5,4,5
5,4.8789,4,4,4,5,5,5
5,4.3491,4,5,4,3,5,4
5,4.8336,5,4,4,5,5,4
4,4.6696,4,4,4,4,5,5
5,4.5584,4,4,4,4,5,4
5,4.7472,4,5,5,4,5,4
5,4.7472,4,5,5,4,5,4
5,4.8131,5,4,5,4,5,4
5,4.8584,4,4,5,4,5,5
4,3.5009,5,4,4,4,3,4
3,3.9967,4,5,4,4,4,4
4,4.6696,4,4,4,4,5,5
5,4.6696,4,5,4,4,5,5
5,3.9967,4,5,4,4,4,4
5,4.8789,4,4,4,5,5,5
5,4.6243,5,5,4,4,5,4
5,4.8789,4,4,4,5,5,5
5,4.8131,5,4,5,4,5,4
4,4.6696,4,4,4,4,5,5
4,4.5584,4,4,4,4,5,4
4,4.5584,4,4,4,4,5,4
5,4.5584,4,5,4,4,5,4
5,4.6243,5,4,4,4,5,4
4,4.2719,5,4,4,5,4,4
4,4.5584,4,4,4,4,5,4
4,3.3121,5,4,3,4,3,4
4,4.3491,4,5,4,3,5,4
5,4.1079,4,4,4,4,4,5
5,4.8131,5,4,5,4,5,4
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
4,3.9967,4,4,4,4,4,4
4,5.0224,5,5,5,5,5,4
3,3.2899,5,5,5,1,4,1
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.8336,5,4,4,5,5,4
4,4.9243,5,5,5,4,5,5
3,3.3893,4,5,3,2,4,4
5,5.1336,5,5,5,5,5,5
4,3.5986,4,4,3,3,4,4
5,5.1336,5,5,5,5,5,5
2,4.3374,5,5,3,3,5,5
3,3.057,3,4,1,2,4,5
3,3.4233,5,4,3,4,3,5
5,4.8336,5,4,4,5,5,4
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
3,3.0234,3,3,2,2,4,3
2,0.8496,5,5,1,1,1,1
3,2.4734,2,4,3,2,3,2
4,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
3,2.9257,4,4,3,3,3,3
5,4.5719,5,5,5,5,4,5
3,4.0215,3,5,5,3,4,5
5,3.9967,4,4,4,4,4,4
4,4.2719,5,5,4,5,4,4
2,3.1669,4,4,3,2,4,2
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,5.1336,5,5,5,5,5,5
5,4.9448,5,5,4,5,5,5
5,5.1336,5,5,5,5,5,5
